City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
310,Mayo,US,38.8876,-76.5119,28.81,58,20,2.24,few clouds
311,Macapa,BR,0.0389,-51.0664,30.99,62,75,2.06,broken clouds
312,Rio Grande,BR,-32.035,-52.0986,13.06,89,13,3.41,few clouds
313,Moree,AU,-29.4667,149.85,16.01,94,40,6.17,light rain
314,Caravelas,BR,-17.7125,-39.2481,19.82,70,67,2.43,broken clouds
315,Alyangula,AU,-13.8483,136.4192,22.5,84,7,2.4,clear sky
316,Naryan-Mar,RU,67.6713,53.087,8.1,94,15,2.1,few clouds
317,Lucapa,AO,-8.4192,20.7447,20.81,27,86,0.57,overcast clouds
318,Searcy,US,35.2506,-91.7363,32.12,50,1,1.79,clear sky
319,Severo-Kurilsk,RU,50.6789,156.125,10.39,79,96,9.63,overcast clouds
320,Shimoda,JP,34.6667,138.95,26.17,86,96,2.63,overcast clouds
321,Cedar City,US,37.6775,-113.0619,30.22,25,1,0.0,clear sky
322,Paamiut,GL,61.994,-49.6678,7.35,89,100,1.94,overcast clouds
323,Chivilcoy,AR,-34.8957,-60.0167,15.57,65,0,1.79,clear sky
324,Santa Maria,BR,-29.6842,-53.8069,12.12,73,0,0.69,clear sky
325,Scalea,IT,39.813,15.7956,27.41,52,4,0.96,clear sky
326,Barentu,ER,15.1139,37.5928,19.75,88,100,1.62,overcast clouds
327,Balti,MD,47.7617,27.9289,21.22,86,31,3.3,light rain
328,The Valley,AI,18.217,-63.0578,29.34,74,20,46.3,few clouds
329,Koulikoro,ML,14.0,-7.75,27.04,68,100,3.3,overcast clouds
330,The Pas,CA,53.8251,-101.2541,33.71,22,42,3.14,scattered clouds
331,Wamba,NG,8.9333,8.6,21.73,95,100,1.61,light rain
332,Lagoa,PT,39.05,-27.9833,22.41,90,3,2.34,clear sky
333,Yarada,IN,17.65,83.2667,29.18,79,40,4.63,scattered clouds
334,Sao Joao Da Barra,BR,-21.6403,-41.0511,21.05,76,0,4.98,clear sky
335,Tefe,BR,-3.3542,-64.7114,31.06,58,40,2.57,scattered clouds
336,Stephenville,US,32.2207,-98.2023,30.34,58,90,3.6,overcast clouds
337,Asfi,MA,32.2994,-9.2372,20.43,87,0,7.15,clear sky
338,Balsas,BR,-7.5325,-46.0356,29.74,22,18,2.35,few clouds
339,Margate,GB,51.3813,1.3862,16.69,72,100,0.89,overcast clouds
340,Antalaha,MG,-14.9003,50.2788,18.85,90,5,2.62,clear sky
341,Buchanan,LR,5.8808,-10.0467,24.98,77,9,3.2,clear sky
342,Birjand,IR,32.8663,59.2211,21.35,19,0,5.46,clear sky
343,Fare,PF,-16.7,-151.0167,26.29,72,68,7.28,broken clouds
344,Les Cayes,HT,18.2,-73.75,28.81,72,79,3.81,broken clouds
345,Qui Nhon,VN,13.7667,109.2333,29.2,67,100,6.12,overcast clouds
346,Wodonga,AU,-36.1167,146.8833,9.0,95,75,1.79,broken clouds
347,Bandrele,YT,-12.9067,45.1914,22.86,83,0,3.09,clear sky
