City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
337,Asfi,MA,20.43,clear sky,32.2994,-9.2372,Hôtel Abda
338,Balsas,BR,29.74,few clouds,-7.5325,-46.0356,Novo Hotel
339,Margate,GB,16.69,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
340,Antalaha,MG,18.85,clear sky,-14.9003,50.2788,Hotel Vitasoa
341,Buchanan,LR,24.98,clear sky,5.8808,-10.0467,Kamaneahn Hotel Inc
342,Birjand,IR,21.35,clear sky,32.8663,59.2211,Birjand Tourist Hotel
343,Fare,PF,26.29,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
344,Les Cayes,HT,28.81,broken clouds,18.2,-73.75,Villa Orphee
345,Qui Nhon,VN,29.2,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
347,Bandrele,YT,22.86,clear sky,-12.9067,45.1914,Les Baobabs
348,Chamba,IN,23.46,broken clouds,32.5667,76.1333,NotOnMap - Rafi's House
349,Baoma,CN,25.88,clear sky,31.4859,106.1128,Center Restaurant
350,Eydhafushi,MV,28.14,overcast clouds,5.1033,73.0708,Soneva Fushi
351,Harindanga,IN,29.99,overcast clouds,22.0383,88.3214,QARI ARIF BILLAH HOUSE. & THE INTERNATIONAL TAHFIZUL. QURAN MADRASAH MISSAIN
352,Lasa,IT,15.95,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
354,Staritsa,RU,16.4,broken clouds,56.5075,34.9354,"Hotel ""House at the Karl Marx"""
356,Ratnagiri,IN,25.96,light rain,16.9833,73.3,Hotel Landmark
357,Axim,GH,25.04,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
359,Kovernino,RU,19.45,overcast clouds,57.1253,43.8142,Welcome
360,Shuangyang,CN,17.86,overcast clouds,43.5242,125.6736,Boutique Chatelet
361,Sao Jose Da Coroa Grande,BR,23.2,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
362,Los Llanos De Aridane,ES,21.86,broken clouds,28.6585,-17.9182,Valle Aridane
363,Maceio,BR,22.69,broken clouds,-9.6658,-35.7353,Poutur Pousada
365,La Macarena,CO,21.61,overcast clouds,2.1837,-73.7849,Hotel Punto Verde
366,Goksun,TR,24.53,clear sky,38.021,36.4973,Tuğçe Otel
368,Chimbote,PE,20.32,clear sky,-9.0853,-78.5783,Hotel Viera Chimbote
371,Quatre Cocos,MU,17.83,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
372,Souillac,MU,17.98,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
373,Gumrak,RU,26.95,clear sky,48.7826,44.3824,дом
375,Vila Velha,BR,23.31,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
376,Banda Aceh,ID,26.23,overcast clouds,5.5577,95.3222,Sulthan Hotel International
377,Slave Lake,CA,25.97,overcast clouds,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
379,Sungaipenuh,ID,17.3,overcast clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
380,Bonthe,SL,24.66,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
381,Acarau,BR,26.25,clear sky,-2.8856,-40.12,castelo pizzaria
382,Neya,RU,18.22,overcast clouds,58.2972,43.8681,Gostinitsa
384,San Quintin,MX,26.17,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
386,Lexington,US,26.62,clear sky,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
390,Galesong,ID,21.01,few clouds,-5.3166,119.3661,Sapriadi Appy
392,Sanary-Sur-Mer,FR,22.71,clear sky,43.1178,5.8001,Résidence Pierre et Vacances Les Rivages de Coudoulière
393,Uchiza,PE,25.87,scattered clouds,-8.4592,-76.4633,Hotel San Pedro
395,Northfield,US,29.54,broken clouds,44.4583,-93.1616,"Country Inn & Suites by Radisson, Northfield, MN"
396,Solnechnyy,RU,16.01,broken clouds,50.7214,136.6319,Hotel complex Pastoral
397,Rathenow,DE,15.68,few clouds,52.6066,12.337,Hotel Fürstenhof
398,Vasilsursk,RU,21.66,scattered clouds,56.1275,46.0072,Vasil'surskiy Dom Otdykha
401,Lindi,TZ,19.39,few clouds,-10.0,39.7167,Lindi paradise house
402,Sao Filipe,CV,24.78,scattered clouds,14.8961,-24.4956,Hotel Xaguate
403,Kurchum,KZ,20.39,clear sky,48.5722,83.6542,"Gostinitsa ""Kneda"""
405,Dharchula,IN,23.13,overcast clouds,29.85,80.5333,Mahara Hotel
406,Namatanai,PG,26.23,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
407,Hope,US,29.64,broken clouds,33.6671,-93.5916,Best Western Hope
408,Parana,AR,17.51,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
409,Westport,US,28.19,clear sky,41.1415,-73.3579,The Westport Inn
413,Fengzhen,CN,19.15,overcast clouds,40.4394,113.1536,Feng Zhen Hotel
414,Inirida,CO,23.66,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
416,Kenai,US,23.35,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
417,Hasaki,JP,26.27,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
418,Paka,MY,25.59,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA
421,Faya,SA,18.29,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
422,Tautira,PF,28.01,overcast clouds,-17.7333,-149.15,Pension Oaoa
425,Santa Lucia,ES,19.31,broken clouds,27.9117,-15.5407,Las Tirajanas
426,Great Yarmouth,GB,16.12,overcast clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
427,Wadi Musa,JO,23.51,clear sky,30.3222,35.4793,Petra Palace Hotel
430,Bani,DO,28.25,overcast clouds,18.2833,-70.3333,Hospedaje Henriquez
431,Tucuman,AR,22.0,clear sky,-26.8241,-65.2226,HOTEL MIAMI
433,Puri,IN,29.1,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
435,Praia,CV,26.3,broken clouds,14.9215,-23.5087,LT Aparthotel
438,Havre-Saint-Pierre,CA,15.55,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
440,Talnakh,RU,18.39,overcast clouds,69.4865,88.3972,Talnakh Hotel
442,Sola,VU,24.37,broken clouds,-13.8833,167.55,Leumerus Bungalows
443,Maua,BR,16.89,few clouds,-23.6678,-46.4614,Hotel Capriccio Mauá
445,Hambantota,LK,25.98,overcast clouds,6.1241,81.1185,Bungalow 63
447,Huarmey,PE,20.66,clear sky,-10.0681,-78.1522,Hotel Miramar
448,Altay,CN,16.89,clear sky,47.8667,88.1167,Jinqiao Hotel
450,Dicabisagan,PH,27.32,light rain,17.0818,122.4157,Nancy Montanes Bernardo
453,Dayong,CN,25.09,overcast clouds,25.0209,118.2898,Haiyue Express Hotel
454,Neiafu,TO,24.38,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
455,Karla,EE,17.54,light rain,59.3723,24.9275,River Villa
458,Nantucket,US,26.81,clear sky,41.2835,-70.0995,Jared Coffin House
466,Kehychivka,UA,20.41,light rain,49.2866,35.7615,Hotel “Status”
467,Pakxan,LA,23.93,light rain,18.3778,103.6601,Kong Kham Pheng Guesthouse
469,Constitucion,CL,15.62,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
470,Neuquen,AR,18.94,clear sky,-38.9516,-68.0591,Hotel del Comahue
471,Nouadhibou,MR,20.76,broken clouds,20.931,-17.0347,El Medina
473,Cabedelo,BR,23.37,few clouds,-6.9811,-34.8339,Hotel Pigalle
474,Gat,IL,29.11,clear sky,31.61,34.7642,OlusHome
476,Urumqi,CN,21.53,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
478,Carutapera,BR,24.43,broken clouds,-1.195,-46.02,Lidera
479,Buala,SB,26.02,light rain,-8.145,159.5921,Maringe Lagoon Lodge
483,Oranjestad,AW,29.97,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
484,Barra Do Garcas,BR,29.6,clear sky,-15.89,-52.2567,Hotel Pousada Tropical
488,Aguimes,ES,22.03,broken clouds,27.9054,-15.4461,Hotel Villa de Aguimes
489,Moron,AR,15.94,clear sky,-34.6534,-58.6198,Hotel Morón
490,Ofunato,JP,24.76,overcast clouds,39.0717,141.7167,Ofunato Hot Spring
492,San Carlos,VE,24.21,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
494,Bowen,AU,17.07,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
496,Iskandar,UZ,27.47,scattered clouds,41.5539,69.7008,Forel мехмонхонаси
497,Svilajnac,RS,21.69,clear sky,44.2337,21.1967,B&B Drumski Raj
498,Jeremie,HT,28.83,overcast clouds,18.65,-74.1167,Auberge’Inn
499,Marquette,US,25.2,broken clouds,46.5333,-87.6335,Al Quaal Lodge
502,Camargo,MX,29.77,broken clouds,27.6667,-105.1667,Hotel Santa Fe
503,Moyale,KE,21.12,broken clouds,3.5167,39.0584,La Tahzan Guest House
504,Ejido,VE,23.7,overcast clouds,8.5514,-71.2375,Bora Bora Nails & Spa C.A.
506,Hirara,JP,27.55,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
507,Nanakuli,US,28.97,few clouds,21.3906,-158.1547,Camp Pālehua
508,Ruza,RU,21.08,broken clouds,55.699,36.1952,Dom Banya
509,Xian,CN,25.47,few clouds,34.2583,108.9286,Grand New World Hotel
511,Zhigansk,RU,15.62,few clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
513,Jaitaran,IN,26.66,very heavy rain,26.2031,73.9364,"Sheetal Bhoomi Seervi Resort, Bhakarwas"
514,Khandyga,RU,17.19,broken clouds,62.6667,135.6,Apel'sin
515,Ambon,ID,26.45,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
517,Manggar,ID,27.21,overcast clouds,-2.8833,108.2667,Guest Hotel
518,Tezu,IN,24.0,overcast clouds,27.9167,96.1667,Circuit House
520,Santiago Del Estero,AR,21.56,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
522,Volnovakha,UA,24.41,clear sky,47.601,37.4967,Oazys
523,Hollins,US,29.67,few clouds,37.3413,-79.9431,"Country Inn & Suites by Radisson, Roanoke, VA"
524,San Juan,AR,22.15,clear sky,-31.5375,-68.5364,Hotel Provincial
525,Marawi,PH,20.36,overcast clouds,7.9986,124.2928,Derogongan Residence
527,Hervey Bay,AU,17.06,clear sky,-25.2986,152.8535,Shelly Bay Resort
528,Lekoni,GA,26.53,scattered clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
529,Zhoucheng,CN,22.25,clear sky,35.9122,116.3117,Yingbin Restaurant
534,Kudahuvadhoo,MV,27.71,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
535,Hamilton,US,26.77,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
538,Sinnamary,GF,26.57,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
539,Mardin,TR,28.13,few clouds,37.3131,40.7436,Reyhani Kasri Hotel
541,Tena,EC,24.35,overcast clouds,-0.9833,-77.8167,Hostal Tena Ñaui
546,Eyl,SO,26.13,broken clouds,7.9803,49.8164,Amiin Hotel
547,Avila,ES,19.8,broken clouds,40.5833,-5.0,El Carrascal
550,Gizo,SB,26.66,light rain,-8.103,156.8419,Imagination Island
551,Namtsy,RU,15.06,overcast clouds,62.7161,129.6658,"""Эңсиэли Киин"""
